171706	amazonfinds	unclear	1200000	94	69400	199	5927	15900	https://www.tiktok.com/@thesamfindz/video/7635334080942361874	Num 02 is game changer 🙌 😮 #amazon #amazonfinds #amazonmusthaves #founditonamazon #kitchen #home #gadgets #products
162252	recipehack	food_or_eating	687300	16	44900	104	2227	26800	https://www.tiktok.com/@emelylovelykitchen/video/7629353868136140063	Ep. 2: Basic Breakfast Potatoes 🥔✨ If your mom didn’t teach you, I will. Ingredients: 2 Potatoes (diced) 1/2 tbsp Oil + light spray 1 tsp Salt & 1/2 tsp Pepper 1 tsp Garlic powder & 1/2 tsp Oregano 1 tsp paprika Fresh parsley Steps: Boil: Diced potatoes for 5
161448	skit	unclear	489500	179	96200	581	6264	11909	https://www.tiktok.com/@itsmattperry/video/7640250940460715278	All cause they having a bad day 😭 #funny #skit #relatable #nostalgia #mattperry
149616	reactionvideo	unclear	565100	8	117800	795	6056	5754	https://www.tiktok.com/@yk_william_/video/7637695999577820424	Cop your clothes frm: @17best-Lulu
142914	recipehack	unclear	650300	81	14400	132	10500	9347	https://www.tiktok.com/@kitchiqueofficial/video/7635058337351994637	How a professional diner chef upgrades basic bread and eggs. 👨‍🍳🔥 #bread #eggs #Recipe #kitchen #kitchenhack
142314	recipehack	food_or_eating	655100	96	14000	138	8104	14000	https://www.tiktok.com/@ashley.hoskins/video/7628009911821061389	1000/10 this is a new family favorite. Thank you @𝚊𝚞𝚋𝚛𝚎𝚢 𝚋𝚛𝚒𝚊𝚗𝚗𝚊 ⚡︎ for the inspiration! #homecooking #easyrecipes #dinnerideas #familymeals #cookinghacks
132228	productivitytips	unclear	433100	159	43600	83	1517	22200	https://www.tiktok.com/@juliakcrist/video/7623082203286637837	get your life together with  calendar!!! 💗📆 here is my simple but aesthetic apple calendar setup that actually keeps you organized + productive!!! #applecalendar #productivitytips #digitalplanning #macbooktips #iphone17promax
129374	recipehack	food_or_eating	2400000	64	20800	739	4604	6688	https://www.tiktok.com/@tastyframe07/video/7635500563282660622	A genius trick with chocolate, that everyone should know #ChocolateLovers #EasyDessert #ViralRecipe #FoodTok #DessertTok
125566	worktok	unclear	219300	7	13300	39	13300	1935	https://www.tiktok.com/@itsiamross/video/7624874061142756621	Short staffed but still expected to do everything 😂 “just do your best” is CRAZY Anyone else dealing with this? #CapCut #workhumor #relateable #officehumor #worktok
122860	recipehack	food_or_eating	241300	61	10900	84	9594	8748	https://www.tiktok.com/@easycookingrecipes4/video/7639906397097954574	Stop paying restaurant prices for the basics! 🛑 These 3 "pantry-to-table" hacks will save you a fortune: 🍄 Steakhouse Gravy: Mushroom Soup + Cornstarch + Soy Sauce (Rich and savory!) 🔥 Authentic Buffalo Sauce: Hot Sauce + Melted Butter + Garlic Powder (The 
121442	recipehack	unclear	443900	634	19600	358	5098	14600	https://www.tiktok.com/@lesleystestkitchen/video/7627077640897187093	Tinapay ang isa sa pinaka-profitable at pinaka-stable na pwedeng ibenta ng isang homebaker so take advantage of this very detailed recipe video tutorial para ma-start mo na ang pangarap mong side hustle 😊 DM me so I can send the link to get a copy of the reci
120834	worktok	unclear	403700	8	41500	39	10500	1905	https://www.tiktok.com/@smashtoastfood/video/7632410821108174093	Jk we are besties #funny #relateable #worktok #trending #fyp
108582	worktok	unclear	492000	16	75200	401	2550	9183	https://www.tiktok.com/@kykybak90/video/7630254617716083982	#body #fup #fyp #rec #рек #f #wonyoung #liz #winter #рекомендаци
108556	commentreply	unclear	2200000	23	87900	401	1036	2077	https://www.tiktok.com/@adihoseki/video/7634212785815211286	Réponse à @naomieandpoppy They think I serve coffee, I just serve looks at the office 😎☕️✨️ #BonjourHoney #AltFashion #GRWM #CommentReply #FYP
107318	commentreply	unclear	550900	117	43000	348	6702	4426	https://www.tiktok.com/@thilar_official/video/7636720270262193428	ယောက်ျားလေးတွေ တကယ် ချစ်ရင် ဘယ်လို ပုံံစံမျိုးလဲ 🥰 #ယောက်ျား #commentreply #thilar #သိလား #ပုံစံ
104354	worktok	unclear	129800	19	6916	46	11700	1060	https://www.tiktok.com/@itsiamross/video/7624154250435677453	I try to stay professional… I really do 😂 but the real personality always finds a way out Who else struggles with this? #CapCut #relateable #officehumor #workhumor #worktok
102946	worktok	unclear	195500	8	3651	39	11700	805	https://www.tiktok.com/@itsiamross/video/7638974297742052622	POV you had to describe your workplace in one sentence 😂 This might be the most accurate thing ever Tell me I’m not the only one #CapCut #officehumor #workhumor #relateable #worktok
98216	amazonfinds	unclear	447400	59	26400	110	2621	13500	https://www.tiktok.com/@apieceofmyhaven/video/7625364656525167885	Amazon zero regret aesthetic kitchen finds✨ everything is linked in my bio
